Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Leg,Supported One Leg Standing Hip Flexor And Knee Extensor Stretch,,,,,,,,,,
Leg,Squat mobility Complex,,,,,,,,,,
Chest,Single Arm Raise Push-up,,,,,,,,,,
Triceps,Single Arm Raise Push-up,,,,,,,,,,
Triceps,Suspended Push-Up,,,,,,,,,,
Triceps,Close-grip Dumbbell Push-Up,,,,,,,,,,
Triceps,Medicine Ball Push-Up,,,,,,,,,,
Triceps,Single Arm Push-Up on Medicine Ball,,,,,,,,,,
Forearm,Single Arm Reverse Grip Cable Bicep Curl,,,,,,,,,,
Shoulders,Medicine Ball Overhead Throw,,,,,,,,,,
Triceps,Medicine Ball Overhead Throw,,,,,,,,,,
Chest,One Arm Medicine Ball Slam,,,,,,,,,,
Full Body,One Arm Medicine Ball Slam,,,,,,,,,,
Shoulders,One Arm Medicine Ball Slam,,,,,,,,,,
Forearm,Water Bottle Hammer Curl,,,,,,,,,,
Hip,Side Lying Feet Raise,,,,,,,,,,
Erector Spinae,Dhanurasana | Rocking Bow Pose,,,,,,,,,,
Yoga,Dhanurasana | Rocking Bow Pose,,,,,,,,,,
Hip,Swing | Gymstick,,,,,,,,,,
Shoulders,Swing | Gymstick,,,,,,,,,,
Trapezius,Single Arm Upright Row | Gymstick,,,,,,,,,,
Hip,Single Leg Reverse Hyperextension | Gymstick,,,,,,,,,,
Leg,Split Squat | Gymstick,,,,,,,,,,
Leg,Squat | Gymstick,,,,,,,,,,
Trapezius,Face Pull With Resistance Band,,,,,,,,,,
Shoulders,Bent Over Row | Gymstick,,,,,,,,,,
Leg,Pin Squat,,,,,,,,,,
Hip,The Box Jump,,,,,,,,,,
Leg,The Box Jump,,,,,,,,,,
Cardio,Battle Rope,,,,,,,,,,
Full Body,Battle Rope,,,,,,,,,,
Shoulders,Battle Rope,,,,,,,,,,
