exercise,primary_muscle,exercise_link,image_link
Gittleson Shrug,Trapezius,https://fitnessprogramer.com/exercise/gittleson-shrug/,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-Seated-Gittleson-Shrug.gif
Running,Cardio,https://fitnessprogramer.com/exercise/running/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Run.gif
Sprint,Cardio,https://fitnessprogramer.com/exercise/sprint/,https://fitnessprogramer.com/wp-content/uploads/2023/06/sprint.gif
Barbell Hang Clean,Full Body,https://fitnessprogramer.com/exercise/barbell-hang-clean/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Barbell-Hang-Clean.gif
Arm Circles,Shoulders,https://fitnessprogramer.com/exercise/arm-circles/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Arm-Circles_Shoulders.gif
Dumbbell Lateral Raise,Shoulders,https://fitnessprogramer.com/exercise/dumbbell-lateral-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lateral-Raise.gif
Dumbbell Shoulder Press,Shoulders,https://fitnessprogramer.com/exercise/dumbbell-shoulder-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Shoulder-Press.gif
Smith Machine Behind Neck Press,Shoulders,https://fitnessprogramer.com/exercise/smith-machine-behind-neck-press/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Behind-Neck-Press.gif
Smith Machine Shoulder Press,Shoulders,https://fitnessprogramer.com/exercise/smith-machine-shoulder-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Smith-Machine-Shoulder-Press.gif
Cable Lateral Raise,Shoulders,https://fitnessprogramer.com/exercise/cable-lateral-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Lateral-Raise.gif
45 Degree Incline Row,Shoulders,https://fitnessprogramer.com/exercise/45-degree-incline-row/,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
45 Degree Incline Row,Trapezius,https://fitnessprogramer.com/exercise/45-degree-incline-row/,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
Lever Shoulder Press,Shoulders,https://fitnessprogramer.com/exercise/lever-shoulder-press/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shoulder-Press.gif
Standing Close Grip Military Press,Shoulders,https://fitnessprogramer.com/exercise/standing-barbell-close-grip-military-press/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Standing-Barbell-Close-Grip-Military-Press.gif
Barbell Military Press (Overhead press),Shoulders,https://fitnessprogramer.com/exercise/barbell-military-press/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Barbell-Standing-Military-Press.gif
Diagonal Neck Stretch,Neck,https://fitnessprogramer.com/exercise/diagonal-neck-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Diagonal-Neck-Stretch-360x360.png
Neck Rotation Stretch,Neck,https://fitnessprogramer.com/exercise/neck-rotation-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Rotating-Neck-Stretch.gif
Neck Flexion Stretch,Neck,https://fitnessprogramer.com/exercise/neck-flexion-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/07/Neck-Flexion-Stretch-360x360.png
